Ontology	Scp	Target_gene_symbol	Organism	ReadWrite_references
Metabolic_energy_generation_pathways	Aerobic glycolysis	ALDOA	Homo_sapiens	NCBI-online-2020December17;PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	ALDOB	Homo_sapiens	NCBI-online-2020December17;PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	ALDOC	Homo_sapiens	NCBI-online-2020December17;PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	DLAT	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	DLD	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	ENO1	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	ENO1B	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	ENO2	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	ENO3	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	GAPD	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	GAPDH	Homo_sapiens	NCBI-online-2020December17;PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	GAPDHS	Homo_sapiens	NCBI-online-2020December17;PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	GCK	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	GPI	Homo_sapiens	UniProt-online-2020December17;PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	HK1	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	HK2	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	HK3	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	PDHA1	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	PDHA2	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	PDHB	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	PDHX	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	PFKL	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	PFKM	Homo_sapiens	PMID: 20143783
Metabolic_energy_generation_pathways	Aerobic glycolysis	PFKP	Homo_sapiens	PMID: 20143783
