Ontology	Scp	Target_gene_symbol	Organism	ReadWrite_references
Custom_transmembrane_transport	Amino acid vs sodium amino acid antiporter	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	Amino acid vs sodium amino acid antiporter	SLC1A5	Homo_sapiens	UniProt
Custom_transmembrane_transport	Amino acid vs sodium antiporter	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	Amino acid vs sodium antiporter	SLC1A5	Homo_sapiens	UniProt
Custom_transmembrane_transport	Amino acid vs sodium antiporter	SLC7A6	Homo_sapiens	NCBI
Custom_transmembrane_transport	Amino acid vs sodium antiporter	SLC7A7	Homo_sapiens	NCBI
Custom_transmembrane_transport	Ammonia vs sodium antiporter	SLC9A4	Homo_sapiens	PMID: 24692143;UniProt
Custom_transmembrane_transport	ASBT (SLC10A2)	SLC10A2	Homo_sapiens	NCBI
Custom_transmembrane_transport	ASCT1 (SLC1A4)	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	ASCT2 (SLC1A5)	SLC1A5	Homo_sapiens	UniProt
Custom_transmembrane_transport	B0AT1 (SLC6A19)	SLC6A19	Homo_sapiens	UniProt online;PMID: 24692143
Custom_transmembrane_transport	B0AT2 (SLC6A15)	SLC6A15	Homo_sapiens	UniProt online;PMID: 24692143
Custom_transmembrane_transport	B0AT3 (SLC6A18)	SLC6A18	Homo_sapiens	UniProt
Custom_transmembrane_transport	BGT1 (SLC6A12)	SLC6A12	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	Calcium potassium vs sodium antiporter	SLC24A1	Homo_sapiens	UniProt
Custom_transmembrane_transport	Calcium potassium vs sodium antiporter	SLC24A2	Homo_sapiens	NCBI
Custom_transmembrane_transport	Calcium potassium vs sodium antiporter	SLC24A3	Homo_sapiens	NCBI
Custom_transmembrane_transport	Calcium potassium vs sodium antiporter	SLC24A4	Homo_sapiens	NCBI
Custom_transmembrane_transport	Calcium potassium vs sodium antiporter	SLC24A5	Homo_sapiens	UniProt online
Custom_transmembrane_transport	Calcium potassium vs sodium antiporter	SLC8B1	Homo_sapiens	NCBI
Custom_transmembrane_transport	Calcium vs sodium antiporter	SLC24A1	Homo_sapiens	UniProt
Custom_transmembrane_transport	Calcium vs sodium antiporter	SLC24A2	Homo_sapiens	NCBI
Custom_transmembrane_transport	Calcium vs sodium antiporter	SLC24A3	Homo_sapiens	NCBI
Custom_transmembrane_transport	Calcium vs sodium antiporter	SLC24A4	Homo_sapiens	NCBI
Custom_transmembrane_transport	Calcium vs sodium antiporter	SLC24A5	Homo_sapiens	UniProt online
Custom_transmembrane_transport	Calcium vs sodium antiporter	SLC8A1	Homo_sapiens	UniProt online;PMID: 17417706
Custom_transmembrane_transport	Calcium vs sodium antiporter	SLC8A2	Homo_sapiens	UniProt
Custom_transmembrane_transport	Calcium vs sodium antiporter	SLC8A3	Homo_sapiens	NCBI
Custom_transmembrane_transport	Calcium vs sodium antiporter	SLC8B1	Homo_sapiens	NCBI
Custom_transmembrane_transport	Cationic amino acid vs large neutral amino acid sodium antiporter	SLC7A6	Homo_sapiens	NCBI
Custom_transmembrane_transport	Cationic amino acid vs large neutral amino acid sodium antiporter	SLC7A7	Homo_sapiens	NCBI
Custom_transmembrane_transport	Cationic amino acid vs sodium antiporter	SLC7A6	Homo_sapiens	NCBI
Custom_transmembrane_transport	Cationic amino acid vs sodium antiporter	SLC7A7	Homo_sapiens	NCBI
Custom_transmembrane_transport	CHT1 (SLC5A7)	SLC5A7	Homo_sapiens	UniProt online
Custom_transmembrane_transport	CNT1 (SLC28A1)	SLC28A1	Homo_sapiens	UniProt online
