Integration_group	Center	Dataset_name	Dataset_color	NCBI_official_gene_symbol	Minus_log10_pval_or_adj_pval	Significance_value_type	Log2_fold_change	Fold_change_value_type
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	TNS2	14.8664608001709	Minus_log10_pvalue	3.22968139035574	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	TLN1	14.3968553543091	Minus_log10_pvalue	1.72589744807013	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	PDLIM5	13.5638370513916	Minus_log10_pvalue	2.28515044557388	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	EFNB1	13.4634418487549	Minus_log10_pvalue	3.04984033218463	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	MYO1C	12.9746942520142	Minus_log10_pvalue	1.5375300162263	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	COL4A4	12.6798534393311	Minus_log10_pvalue	3.6714203093393	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	TJP1	12.6216020584106	Minus_log10_pvalue	3.77639787829244	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	MYO1B	12.5968790054321	Minus_log10_pvalue	2.65508005468797	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	IQGAP2	11.8477115631104	Minus_log10_pvalue	1.84594636418358	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	INF2	11.8068752288818	Minus_log10_pvalue	3.65673907642712	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	MAP1B	11.6903696060181	Minus_log10_pvalue	4.57579869774681	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	SYNPO	11.4271287918091	Minus_log10_pvalue	4.90028694005336	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	LAMB2	11.3777856826782	Minus_log10_pvalue	2.69673677157682	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	AHNAK	11.2479515075684	Minus_log10_pvalue	2.03939164609406	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	LAMA5	11.2380723953247	Minus_log10_pvalue	1.95762750903525	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	AGRN	10.9871625900269	Minus_log10_pvalue	2.09677955575878	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	KIRREL1	10.958607673645	Minus_log10_pvalue	4.90934526579153	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	FERMT2	10.9172143936157	Minus_log10_pvalue	2.03579031148809	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	ITGA3	10.8538722991943	Minus_log10_pvalue	3.46757770791926	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	LAMC1	10.7399282455444	Minus_log10_pvalue	2.00271773780726	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	ACTN4	10.6439743041992	Minus_log10_pvalue	1.52518328524616	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	CLIC5	10.2572746276855	Minus_log10_pvalue	3.26503287721974	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	PPP1R12A	10.0824947357178	Minus_log10_pvalue	1.98407873699056	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	DDN	9.95467662811279	Minus_log10_pvalue	4.15232080365651	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	CDH13	9.8894100189209	Minus_log10_pvalue	2.2640898181879	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	RRAS	9.85078048706055	Minus_log10_pvalue	1.7464034207275	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	UTRN	9.55751991271973	Minus_log10_pvalue	2.66706381890704	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	ITGA1	9.54211807250977	Minus_log10_pvalue	1.6032688263462	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	TNS3	9.44369792938232	Minus_log10_pvalue	2.55588545624678	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	NPHS1	9.23062229156494	Minus_log10_pvalue	5.00729103910493	Log2_fold_change
Endothelial glomerula	LMD Proteomics	LMD Proteomics - Glom - EC	LightSkyBlue	VCL	9.22988510131836	Minus_log10_pvalue	1.34239675489319	Log2_fold_change
