Integration_group	Center	Dataset_name	Dataset_color	NCBI_official_gene_symbol	Minus_log10_pval_or_adj_pval	Significance_value_type	Log2_fold_change	Fold_change_value_type
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	GPR37L1	5.89783133800386	Minus_log10_pvalue	2.29655571298752	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	B9D1	5.89179288060753	Minus_log10_pvalue	1.69135128448931	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	L1CAM	5.14146884773435	Minus_log10_pvalue	2.03403443728188	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	PPP1R27	5.08530449863847	Minus_log10_pvalue	2.28111969793749	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	PAEP	4.94026187515867	Minus_log10_pvalue	2.23145603806662	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	SYCP3	4.57053846619651	Minus_log10_pvalue	1.72966384839246	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	GRM2	4.35251752530323	Minus_log10_pvalue	1.94640021815886	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	PLEKHG6	4.26444782593432	Minus_log10_pvalue	1.9633271415909	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	PTPRN2	4.2034839141637	Minus_log10_pvalue	1.88219745197783	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	LOC101929340	4.16805884101992	Minus_log10_pvalue	2.22817321619808	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	MIR216A	4.12175127894097	Minus_log10_pvalue	2.5098610455881	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	KCNK15	4.07069779001512	Minus_log10_pvalue	2.25958924816381	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	MIR4532	3.99881854840533	Minus_log10_pvalue	2.73049570675036	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	KCNV2	3.96904958779543	Minus_log10_pvalue	2.02410437672401	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	LOC101929116	3.96541005886492	Minus_log10_pvalue	2.05298258598298	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	SCIN	3.89793913149043	Minus_log10_pvalue	1.2490307550523	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	SLPI	3.86662768343471	Minus_log10_pvalue	1.54263481000393	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	FAM20A	3.85873759562374	Minus_log10_pvalue	1.31715662175668	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	SLC6A4	3.83354994673376	Minus_log10_pvalue	1.41625669698414	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	ZMYND15	3.83304640251451	Minus_log10_pvalue	1.86652670492029	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	GPRC5B	3.79538204064303	Minus_log10_pvalue	1.4395151291966	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	SYCN	3.7529304568964	Minus_log10_pvalue	2.28490541240539	Log2_fold_change
Intercalated cells	LMD RNASeq	LMD RNASeq - CD - IC	Pink	ASPHD2	3.74686159677149	Minus_log10_pvalue	1.95953759284027	Log2_fold_change
