Integration_group	Center	Dataset_name	Dataset_color	NCBI_official_gene_symbol	Minus_log10_pval_or_adj_pval	Significance_value_type	Log2_fold_change	Fold_change_value_type
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	PDLIM2	4.4294570601181	Minus_log10_pvalue	5.12610876902271	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	CLIC5	3.91864549002537	Minus_log10_pvalue	4.78659636189081	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	PODXL	3.84863627956971	Minus_log10_pvalue	5.41953889151378	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	TLN1	3.6496182240549	Minus_log10_pvalue	1.70188777128893	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	ARRB1	3.52083946127806	Minus_log10_pvalue	4.36923380989841	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	ARPC4	3.49026938484482	Minus_log10_pvalue	1.15200309330078	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	ZYX	3.48757844747341	Minus_log10_pvalue	3.01559685509756	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	ARPC1B	3.46098415433219	Minus_log10_pvalue	2.29956028183637	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	NES	3.46077581446664	Minus_log10_pvalue	9	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	PECAM1	3.42121070362814	Minus_log10_pvalue	3.92599941855622	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	PITPNB	3.39918495931339	Minus_log10_pvalue	2.58496250072116	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	CD109	3.35032348790032	Minus_log10_pvalue	4.58496250072116	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	GNG5	3.35032348790032	Minus_log10_pvalue	4.58496250072116	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	TMEM150C	3.35032348790032	Minus_log10_pvalue	4.58496250072116	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	FERMT2	3.34765114277856	Minus_log10_pvalue	3.05062607311972	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	MAPK1	3.32361645014513	Minus_log10_pvalue	1.85561009064584	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	DAG1	3.32092295149001	Minus_log10_pvalue	4.50250034074134	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	MAP4	3.23523897321281	Minus_log10_pvalue	1.08658768485602	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	CRIP2	3.15507633320073	Minus_log10_pvalue	1.62593428173707	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	RRAS	3.14851538775531	Minus_log10_pvalue	2.97862634917513	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	RSU1	3.1393667735447	Minus_log10_pvalue	2	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	LPP	3.06634874379356	Minus_log10_pvalue	1.55849028913733	Log2_fold_change
Endothelial glomerula	NSC Proteomics	NSC Proteomics - Glom - EC	Blue	NDRG2	3.0098921198436	Minus_log10_pvalue	1.71369581484336	Log2_fold_change
