Integration_group	Center	Dataset_name	Dataset_color	NCBI_official_gene_symbol	Minus_log10_pval_or_adj_pval	Significance_value_type	Log2_fold_change	Fold_change_value_type
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	CLDN1	∞	Minus_log10_pvalue	1.72146412679514	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	CRYAB	205.997824190582	Minus_log10_pvalue	1.70830828553202	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	TNFRSF11B	183.396953384261	Minus_log10_pvalue	1.60711490567303	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	AKR1B1	180.517905243948	Minus_log10_pvalue	1.63241107007809	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	CD24	173.43629282341	Minus_log10_pvalue	1.48132246492994	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	LINC01426	153.403032227239	Minus_log10_pvalue	0.86272954877728	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	ABCA4	152.852359701764	Minus_log10_pvalue	1.09313929247694	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	LDHB	145.263228272904	Minus_log10_pvalue	1.38325876688145	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	SH3GL3	141.629277288148	Minus_log10_pvalue	0.816243175935967	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	SLPI	134.374956796175	Minus_log10_pvalue	1.45456391558005	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	BCAS1	133.97526522953	Minus_log10_pvalue	0.953482557746573	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	GSTP1	132.756046148682	Minus_log10_pvalue	1.25661077020334	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	EEF1A1	130.202545258736	Minus_log10_pvalue	1.28592595562273	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	SLC34A2	123.167375992177	Minus_log10_pvalue	1.29517274107615	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	RPS6	120.000773274518	Minus_log10_pvalue	1.08037217564161	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	MYL12B	116.251118748769	Minus_log10_pvalue	1.21472575977606	Log_fold_change
Thin_ascending_limb	SN RNASeq	SN RNASeq - ATL-1	DarkRed	RPL3	114.855589007269	Minus_log10_pvalue	1.25896677573499	Log_fold_change
