Child_id	Child_scp	Parent_id	Parent_scp
MBCO_NaGlu_Id:0000203	Neutral amino acid vs sodium neutral amino acid antiporter	MBCO_NaGlu_Id:0000059	Amino acid vs sodium amino acid antiporter
MBCO_NaGlu_Id:0000059	Amino acid vs sodium amino acid antiporter	MBCO_NaGlu_Id:0000016	Amino acid vs sodium antiporter
MBCO_NaGlu_Id:0000060	Cationic amino acid vs sodium antiporter	MBCO_NaGlu_Id:0000016	Amino acid vs sodium antiporter
MBCO_NaGlu_Id:0000061	NHE4 (SLC9A4)	MBCO_NaGlu_Id:0000017	Ammonia vs sodium antiporter
MBCO_NaGlu_Id:0000004	Sodium B2L	MBCO_NaGlu_Id:0000001	B2L
MBCO_NaGlu_Id:0000003	Glucose B2L	MBCO_NaGlu_Id:0000001	B2L
MBCO_NaGlu_Id:0000205	NCKX1 (SLC24A1)	MBCO_NaGlu_Id:0000063	Calcium potassium vs sodium antiporter
MBCO_NaGlu_Id:0000206	NCKX2 (SLC24A2)	MBCO_NaGlu_Id:0000063	Calcium potassium vs sodium antiporter
MBCO_NaGlu_Id:0000207	NCKX3 (SLC24A3)	MBCO_NaGlu_Id:0000063	Calcium potassium vs sodium antiporter
MBCO_NaGlu_Id:0000208	NCKX4 (SLC24A4)	MBCO_NaGlu_Id:0000063	Calcium potassium vs sodium antiporter
MBCO_NaGlu_Id:0000209	NCKX5 (SLC24A5)	MBCO_NaGlu_Id:0000063	Calcium potassium vs sodium antiporter
MBCO_NaGlu_Id:0000062	Calcium potassium vs sodium	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter
MBCO_NaGlu_Id:0000063	Calcium potassium vs sodium antiporter	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter
MBCO_NaGlu_Id:0000064	NCLX (SLC8B1)	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter
MBCO_NaGlu_Id:0000065	NCX1 (SLC8A1)	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter
MBCO_NaGlu_Id:0000066	NCX2 (SLC8A2)	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter
MBCO_NaGlu_Id:0000067	NCX3 (SLC8A3)	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter
MBCO_NaGlu_Id:0000279	gamma+LAT1 (SLC7A7)	MBCO_NaGlu_Id:0000204	Cationic amino acid vs large neutral amino acid sodium antiporter
MBCO_NaGlu_Id:0000280	gamma+LAT2 (SLC7A6)	MBCO_NaGlu_Id:0000204	Cationic amino acid vs large neutral amino acid sodium antiporter
MBCO_NaGlu_Id:0000204	Cationic amino acid vs large neutral amino acid sodium antiporter	MBCO_NaGlu_Id:0000060	Cationic amino acid vs sodium antiporter
MBCO_NaGlu_Id:0000010	Glucose L2B by antiporter	MBCO_NaGlu_Id:0000005	Glucose L2B
MBCO_NaGlu_Id:0000011	Glucose L2B by symporter	MBCO_NaGlu_Id:0000005	Glucose L2B
MBCO_NaGlu_Id:0000012	Glucose L2B by unimolecular transport	MBCO_NaGlu_Id:0000005	Glucose L2B
MBCO_NaGlu_Id:0000029	Hydrogen glucose symporter	MBCO_NaGlu_Id:0000011	Glucose L2B by symporter
MBCO_NaGlu_Id:0000030	Sodium glucose symporter	MBCO_NaGlu_Id:0000011	Glucose L2B by symporter
MBCO_NaGlu_Id:0000242	OCTN2 (SLC22A5)	MBCO_NaGlu_Id:0000160	High affinity carnitine sodium symporter
MBCO_NaGlu_Id:0000082	DNB5 (SLC45A1)	MBCO_NaGlu_Id:0000029	Hydrogen glucose symporter
MBCO_NaGlu_Id:0000083	Hydrogen-associated glucose transporter	MBCO_NaGlu_Id:0000029	Hydrogen glucose symporter
MBCO_NaGlu_Id:0000281	SNAT3 (SLC38A3)	MBCO_NaGlu_Id:0000210	Hydrogen vs sodium alanine antiporter
MBCO_NaGlu_Id:0000282	SNAT5 (SLC38A5)	MBCO_NaGlu_Id:0000210	Hydrogen vs sodium alanine antiporter
MBCO_NaGlu_Id:0000210	Hydrogen vs sodium alanine antiporter	MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter
MBCO_NaGlu_Id:0000211	Hydrogen vs sodium asparagine antiporter	MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter
MBCO_NaGlu_Id:0000212	Hydrogen vs sodium glutamine antiporter	MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter
MBCO_NaGlu_Id:0000213	Hydrogen vs sodium glycine antiporter	MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter
MBCO_NaGlu_Id:0000214	Hydrogen vs sodium histidine antiporter	MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter
MBCO_NaGlu_Id:0000215	Hydrogen vs sodium serine antiporter	MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter
MBCO_NaGlu_Id:0000216	SNAT6 (SLC38A6)	MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter
MBCO_NaGlu_Id:0000217	SNAT8 (SLC38A8)	MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter
MBCO_NaGlu_Id:0000068	Hydrogen vs sodium amino acid antiporter	MBCO_NaGlu_Id:0000019	Hydrogen vs sodium antiporter
MBCO_NaGlu_Id:0000069	NHE1 (SLC9A1)	MBCO_NaGlu_Id:0000019	Hydrogen vs sodium antiporter
MBCO_NaGlu_Id:0000061	NHE4 (SLC9A4)	MBCO_NaGlu_Id:0000019	Hydrogen vs sodium antiporter
MBCO_NaGlu_Id:0000281	SNAT3 (SLC38A3)	MBCO_NaGlu_Id:0000211	Hydrogen vs sodium asparagine antiporter
MBCO_NaGlu_Id:0000282	SNAT5 (SLC38A5)	MBCO_NaGlu_Id:0000211	Hydrogen vs sodium asparagine antiporter
MBCO_NaGlu_Id:0000281	SNAT3 (SLC38A3)	MBCO_NaGlu_Id:0000212	Hydrogen vs sodium glutamine antiporter
MBCO_NaGlu_Id:0000282	SNAT5 (SLC38A5)	MBCO_NaGlu_Id:0000212	Hydrogen vs sodium glutamine antiporter
MBCO_NaGlu_Id:0000283	SNAT7 (SLC38A7)	MBCO_NaGlu_Id:0000212	Hydrogen vs sodium glutamine antiporter
MBCO_NaGlu_Id:0000282	SNAT5 (SLC38A5)	MBCO_NaGlu_Id:0000213	Hydrogen vs sodium glycine antiporter
MBCO_NaGlu_Id:0000281	SNAT3 (SLC38A3)	MBCO_NaGlu_Id:0000214	Hydrogen vs sodium histidine antiporter
MBCO_NaGlu_Id:0000282	SNAT5 (SLC38A5)	MBCO_NaGlu_Id:0000214	Hydrogen vs sodium histidine antiporter
MBCO_NaGlu_Id:0000282	SNAT5 (SLC38A5)	MBCO_NaGlu_Id:0000215	Hydrogen vs sodium serine antiporter
MBCO_NaGlu_Id:0000005	Glucose L2B	MBCO_NaGlu_Id:0000002	L2B
MBCO_NaGlu_Id:0000006	Sodium L2B	MBCO_NaGlu_Id:0000002	L2B
MBCO_NaGlu_Id:0000277	ASCT1 (SLC1A4)	MBCO_NaGlu_Id:0000203	Neutral amino acid vs sodium neutral amino acid antiporter
MBCO_NaGlu_Id:0000278	ASCT2 (SLC1A5)	MBCO_NaGlu_Id:0000203	Neutral amino acid vs sodium neutral amino acid antiporter
