Ontology	ProcessName	Symbol	Organism	ReadWrite_references
Mbco_na_glucose_tm_transport_human	Amino acid vs sodium amino acid antiporter	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Amino acid vs sodium amino acid antiporter	SLC1A5	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Amino acid vs sodium antiporter	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Amino acid vs sodium antiporter	SLC1A5	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Amino acid vs sodium antiporter	SLC7A6	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Amino acid vs sodium antiporter	SLC7A7	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Ammonia vs sodium antiporter	SLC9A4	Homo_sapiens	PMID: 24692143;UniProt
Mbco_na_glucose_tm_transport_human	ASBT (SLC10A2)	SLC10A2	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	ASCT1 (SLC1A4)	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
Mbco_na_glucose_tm_transport_human	ASCT2 (SLC1A5)	SLC1A5	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	B0AT1 (SLC6A19)	SLC6A19	Homo_sapiens	UniProt online;PMID: 24692143
Mbco_na_glucose_tm_transport_human	B0AT2 (SLC6A15)	SLC6A15	Homo_sapiens	UniProt online;PMID: 24692143
Mbco_na_glucose_tm_transport_human	B0AT3 (SLC6A18)	SLC6A18	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	BGT1 (SLC6A12)	SLC6A12	Homo_sapiens	UniProt;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Calcium potassium vs sodium antiporter	SLC24A1	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Calcium potassium vs sodium antiporter	SLC24A2	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Calcium potassium vs sodium antiporter	SLC24A3	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Calcium potassium vs sodium antiporter	SLC24A4	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Calcium potassium vs sodium antiporter	SLC24A5	Homo_sapiens	UniProt online
Mbco_na_glucose_tm_transport_human	Calcium potassium vs sodium antiporter	SLC8B1	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Calcium vs sodium antiporter	SLC24A1	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Calcium vs sodium antiporter	SLC24A2	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Calcium vs sodium antiporter	SLC24A3	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Calcium vs sodium antiporter	SLC24A4	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Calcium vs sodium antiporter	SLC24A5	Homo_sapiens	UniProt online
Mbco_na_glucose_tm_transport_human	Calcium vs sodium antiporter	SLC8A1	Homo_sapiens	UniProt online;PMID: 17417706
Mbco_na_glucose_tm_transport_human	Calcium vs sodium antiporter	SLC8A2	Homo_sapiens	UniProt
