Parent_scp	Child_scp	ReadWrite_references	Parent_priotirization
Amino acid vs sodium amino acid antiporter	Neutral amino acid vs sodium neutral amino acid antiporter		10
Amino acid vs sodium antiporter	Amino acid vs sodium amino acid antiporter		10
Amino acid vs sodium antiporter	Cationic amino acid vs sodium antiporter		0
Ammonia vs sodium antiporter	NHE4 (SLC9A4)	PMID:21186281	10
B2L	Sodium B2L		10
B2L	Glucose B2L		10
Calcium potassium vs sodium antiporter	NCKX1 (SLC24A1)		10
Calcium potassium vs sodium antiporter	NCKX2 (SLC24A2)		10
Calcium potassium vs sodium antiporter	NCKX3 (SLC24A3)		10
Calcium potassium vs sodium antiporter	NCKX4 (SLC24A4)		10
Calcium potassium vs sodium antiporter	NCKX5 (SLC24A5)		10
Calcium vs sodium antiporter	Calcium potassium vs sodium		10
Calcium vs sodium antiporter	Calcium potassium vs sodium antiporter		10
Calcium vs sodium antiporter	NCLX (SLC8B1)		10
Calcium vs sodium antiporter	NCX1 (SLC8A1)		10
Calcium vs sodium antiporter	NCX2 (SLC8A2)		10
Calcium vs sodium antiporter	NCX3 (SLC8A3)		10
Cationic amino acid vs large neutral amino acid sodium antiporter	gamma+LAT1 (SLC7A7)	PMID: 23506863;PMID: 24692143;UniProt-online-2021May21	10
Cationic amino acid vs large neutral amino acid sodium antiporter	gamma+LAT2 (SLC7A6)	PMID: 23506863;PMID: 24692143;UniProt-online-2021May21	10
Cationic amino acid vs sodium antiporter	Cationic amino acid vs large neutral amino acid sodium antiporter		10
Glucose L2B	Glucose L2B by antiporter		10
Glucose L2B	Glucose L2B by symporter		10
Glucose L2B	Glucose L2B by unimolecular transport		10
Glucose L2B by symporter	Hydrogen glucose symporter		10
Glucose L2B by symporter	Sodium glucose symporter		10
High affinity carnitine sodium symporter	OCTN2 (SLC22A5)		10
Hydrogen glucose symporter	DNB5 (SLC45A1)	PMID:21186281	10
Hydrogen glucose symporter	Hydrogen-associated glucose transporter		10
Hydrogen vs sodium alanine antiporter	SNAT3 (SLC38A3)	GeneCards-online-2021May22;PMID:24692143;PMID:21186281	10
Hydrogen vs sodium alanine antiporter	SNAT5 (SLC38A5)	GeneCards-online-2021May22;PMID:24692143;PMID:21186281	10
Hydrogen vs sodium amino acid antiporter	Hydrogen vs sodium alanine antiporter		10
Hydrogen vs sodium amino acid antiporter	Hydrogen vs sodium asparagine antiporter		10
Hydrogen vs sodium amino acid antiporter	Hydrogen vs sodium glutamine antiporter		10
Hydrogen vs sodium amino acid antiporter	Hydrogen vs sodium glycine antiporter		10
Hydrogen vs sodium amino acid antiporter	Hydrogen vs sodium histidine antiporter		10
Hydrogen vs sodium amino acid antiporter	Hydrogen vs sodium serine antiporter		10
Hydrogen vs sodium amino acid antiporter	SNAT6 (SLC38A6)		10
Hydrogen vs sodium amino acid antiporter	SNAT8 (SLC38A8)	GeneCards-online-2021May22;PMID:24692143	10
Hydrogen vs sodium antiporter	Hydrogen vs sodium amino acid antiporter		10
Hydrogen vs sodium antiporter	NHE1 (SLC9A1)	PMID:21186281	10
Hydrogen vs sodium antiporter	NHE4 (SLC9A4)	PMID:21186281	10
Hydrogen vs sodium asparagine antiporter	SNAT3 (SLC38A3)	GeneCards-online-2021May22;PMID:24692143;PMID:21186281	10
Hydrogen vs sodium asparagine antiporter	SNAT5 (SLC38A5)	GeneCards-online-2021May22;PMID:24692143;PMID:21186281	10
Hydrogen vs sodium glutamine antiporter	SNAT3 (SLC38A3)	GeneCards-online-2021May22;PMID:24692143;PMID:21186281	10
Hydrogen vs sodium glutamine antiporter	SNAT5 (SLC38A5)	GeneCards-online-2021May22;PMID:24692143;PMID:21186281	10
Hydrogen vs sodium glutamine antiporter	SNAT7 (SLC38A7)	GeneCards-online-2021May22;PMID:24692143	10
Hydrogen vs sodium glycine antiporter	SNAT5 (SLC38A5)	GeneCards-online-2021May22;PMID:24692143;PMID:21186281	10
Hydrogen vs sodium histidine antiporter	SNAT3 (SLC38A3)	GeneCards-online-2021May22;PMID:24692143;PMID:21186281	10
Hydrogen vs sodium histidine antiporter	SNAT5 (SLC38A5)	GeneCards-online-2021May22;PMID:24692143;PMID:21186281	10
Hydrogen vs sodium serine antiporter	SNAT5 (SLC38A5)	GeneCards-online-2021May22;PMID:24692143;PMID:21186281	10
L2B	Glucose L2B		10
L2B	Sodium L2B		10
Neutral amino acid vs sodium neutral amino acid antiporter	ASCT1 (SLC1A4)	PMID: 34269129;UniProt-online-2021May21;PMID: 31981058;PMID: 8910405	10
Neutral amino acid vs sodium neutral amino acid antiporter	ASCT2 (SLC1A5)	PMID: 34269129;UniProt-online-2021May21;PMID: 31981058;PMID: 10698697	10
Potassium vs sodium antiporter	Calcium potassium vs sodium		10
Potassium vs sodium antiporter	Calcium potassium vs sodium antiporter		10
Sodium acetylcholine symporter	OCTN1 (SLC22A4)	PMID: 30523710	10
Sodium alanine symporter	NTT4 (SLC6A17)	PMID: 19147495;GeneCards-online-2021May22	10
Sodium alanine symporter	Sodium alanine vs hydrogen antiporter		10
Sodium amino acid symporter	Sodium alanine symporter		10
Sodium amino acid symporter	Sodium amino acid vs hydrogen antiporter		10
Sodium amino acid symporter	Sodium arginine symporter		10
Sodium amino acid symporter	Sodium aromatic amino acid symporter		10
Sodium amino acid symporter	Sodium asparagine symporter		10
Sodium amino acid symporter	Sodium aspartate symporter		10
Sodium amino acid symporter	Sodium beta-alanine symporter		10
Sodium amino acid symporter	Sodium betaine symporter		10
Sodium amino acid symporter	Sodium branched amino acid symporter		10
Sodium amino acid symporter	Sodium branched chain amino acid symporter		10
Sodium amino acid symporter	Sodium cationic amino acid symporter		10
Sodium amino acid symporter	Sodium cysteine symporter		10
Sodium amino acid symporter	Sodium cystine symporter		10
Sodium amino acid symporter	Sodium dependent amino acid transporter		10
Sodium amino acid symporter	Sodium glutamate symporter		10
Sodium amino acid symporter	Sodium glutamine symporter		10
Sodium amino acid symporter	Sodium glycine symporter		10
Sodium amino acid symporter	Sodium histidine symporter		10
Sodium amino acid symporter	Sodium hydrogen amino acid vs potassium antiporter		10
Sodium amino acid symporter	Sodium isoleucine symporter		10
Sodium amino acid symporter	Sodium L proline symporter		10
Sodium amino acid symporter	Sodium large neutral amino acid symporter		10
Sodium amino acid symporter	Sodium L-Dopa symporter		10
Sodium amino acid symporter	Sodium leucine symporter		10
Sodium amino acid symporter	Sodium lysine symporter		10
Sodium amino acid symporter	Sodium methionine symporter		10
Sodium amino acid symporter	Sodium methylated amino acid symporter		10
Sodium amino acid symporter	Sodium N methyl L proline symporter		10
Sodium amino acid symporter	Sodium neutral amino acid symporter		10
Sodium amino acid symporter	Sodium phenylalanine symporter		10
Sodium amino acid symporter	Sodium pipecolate symporter		10
Sodium amino acid symporter	Sodium proline symporter		10
Sodium amino acid symporter	Sodium serine symporter		10
Sodium amino acid symporter	Sodium small neutral amino acid symporter		10
Sodium amino acid symporter	Sodium threonine symporter		10
Sodium amino acid symporter	Sodium tryptophan symporter		10
Sodium amino acid symporter	Sodium tyrosine symporter		10
Sodium amino acid symporter	Sodium valine symporter		10
Sodium amino acid symporter B2L	Amino acid vs sodium amino acid antiporter		10
Sodium amino acid symporter B2L	Hydrogen vs sodium amino acid antiporter		10
Sodium amino acid symporter B2L	Sodium glutamine symporter B2L		10
Sodium amino acid symporter B2L	Sodium large neutral amino acid symporter B2L		0
Sodium amino acid symporter B2L	Sodium neutral amino acid symporter B2L		10
Sodium ascorbic acid symporter	SVCT1 (SLC23A1)		10
Sodium ascorbic acid symporter B2L	SVCT2 (SLC23A2)		10
Sodium asparagine symporter	Sodium asparagine vs hydrogen antiporter		10
Sodium aspartate symporter	Sodium hydrogen aspartate vs potassium antiporter		1
Sodium B2L	Sodium B2L by antiporter		10
Sodium B2L	Sodium B2L by symporter		5
Sodium B2L	Sodium B2L by unimolecular transport		10
Sodium B2L by antiporter	Amino acid vs sodium antiporter		10
Sodium B2L by antiporter	Ammonia vs sodium antiporter		10
Sodium B2L by antiporter	Calcium vs sodium antiporter		10
Sodium B2L by antiporter	Hydrogen vs sodium antiporter		10
Sodium B2L by antiporter	Potassium vs sodium antiporter		10
Sodium B2L by symporter	Sodium amino acid symporter B2L		10
Sodium B2L by symporter	Sodium ascorbic acid symporter B2L		10
Sodium B2L by symporter	Sodium biologically active small organic molecule symporter B2L		10
Sodium B2L by symporter	Sodium borate symporter B2L		10
Sodium B2L by symporter	Sodium chloride symporter B2L		10
Sodium B2L by symporter	Sodium mono-, di- or tricarboxylate symporter B2L		10
Sodium B2L by symporter	Sodium sugar symporter B2L		10
Sodium B2L by symporter	Sodium taurine symporter B2L		10
Sodium beta-alanine symporter	Sodium chloride beta-alanine symporter		10
Sodium betaine symporter	Sodium chloride betaine symporter		10
Sodium bicarbonate symporter	NBCe1 (SLC4A4)	PMID:23506864;PMID:28795233	10
Sodium bicarbonate symporter	NBCe2 (SLC4A5)	PMID:23506864	10
Sodium bicarbonate symporter	NBCn1 (SLC4A7)	PMID:23506864	10
Sodium bicarbonate symporter	NBCn2 (SLC4A10)	PMID:23506864;futile chloride exchange	10
Sodium bicarbonate symporter	Sodium bicarbonate vs chloride antiporter		10
Sodium bicarbonate vs chloride antiporter	NBCn2 (SLC4A10)	PMID:23506864	10
Sodium bicarbonate vs chloride antiporter	NDCBE (SLC4A8)	PMID:23506864	10
Sodium bile salt symporter	ASBT (SLC10A2)		10
Sodium bile salt symporter	SOAT (SLC10A6)		10
Sodium bile salt symporter	Sodium taurocholate symporter		10
Sodium biochemical cofactor symporter	Sodium lipoate symporter		10
Sodium biochemical cofactor symporter	Sodium lipoic acid symporter		10
Sodium biochemical cofactor symporter	Sodium vitamin symporter		10
Sodium biologically active small organic molecule symporter	Sodium dopamine symporter		10
Sodium biologically active small organic molecule symporter	Sodium GABA symporter		10
Sodium biologically active small organic molecule symporter	Sodium neurotransmitter symporter		10
Sodium biologically active small organic molecule symporter	Sodium noradrenalin symporter		10
Sodium biologically active small organic molecule symporter	Sodium serotonin symporter		10
Sodium biologically active small organic molecule symporter B2L	Sodium GABA symporter B2L		10
Sodium biotin symporter	SMVT (SLC5A)		10
Sodium biotin symporter	Sodium-dependent biotin transporter		10
Sodium borate symporter B2L	NaBC1 (SLC4A11)		10
Sodium carnitine symporter	High affinity carnitine sodium symporter		10
Sodium carnitine symporter	Low affinity carnitine sodium symporter		10
Sodium carnitine symporter	OCT6 (SLC22A16)		10
Sodium carnitine symporter	Sodium chloride carnitine symporter		10
Sodium carnitine, choline or betaine symporter	Sodium choline symporter		10
Sodium cationic amino acid symporter	Sodium chloride cationic amino acid symporter		10
Sodium chloride beta-alanine symporter	TauT (SLC6A6)	PMID: 24633632;Uniprot-online-2021May22	10
Sodium chloride cationic amino acid symporter	Sodium chloride cationic amino acid symporter except proline		10
Sodium chloride cationic amino acid symporter except proline	ATB0+	PMID: 24633632;Uniprot-online-2021May22	10
Sodium chloride choline symporter	CHT1 (SLC5A7)		10
Sodium chloride creatine symporter	CT1 (SLC6A8)	PMID: 25531585;PMID: 24633632;Uniprot-online-2021May22	10
Sodium chloride creatine symporter	Sodium chloride dependent creatine transporter		10
Sodium chloride dopamine symporter	DAT1 (SLC6A3)	Uniprot-online-2021May22	10
Sodium chloride GABA symporter B2L	BGT1 (SLC6A12)	PMID: 24633632;Tocris_summary-2021May22	10
Sodium chloride GABA symporter B2L	GAT1 (SLC6A1)	PMID: 24633632;Tocris_summary-2021May22	10
Sodium chloride GABA symporter B2L	GAT2 (SLC6A13)	PMID: 24633632;PMID: 22896705;Tocris_summary-2021May22	10
Sodium chloride GABA symporter B2L	GAT3 (SLC6A11)	PMID: 24633632;Tocris_summary-2021May22;Uniprot-online-2021May22	10
Sodium chloride glycine symporter	GlyT1 (SLC6A9)	PMID: 32712279;Uniprot-online-2021May22	10
