Dataset name	Timepoint	Timeunit	Integration group	Dataset color	NCBI official gene symbol	Value_1st	Value_2nd	Significant	Rank	Cellline	Drug	Drug_fullName	Drug_class	Drug_abbreviation	Outlier
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	A2M	15.0831587716857	0	FALSE	307	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Down	Orange	AAK1	-12.2638361846143	0	FALSE	493	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ACAP3	15.6239190629485	0	FALSE	288	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ACSM5	14.2968937788269	0	FALSE	335	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ACTA2	22.2219251139566	0	FALSE	164	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ACTC1	17.9756306853285	0	FALSE	217	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ADAMTSL4	13.0607850485788	0	FALSE	417	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ADCY4	11.8095706886682	0	FALSE	538	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ADGRB1	11.7084632319609	0	FALSE	556	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
daunorubicin - healthy hiPSCd cardiomyocyte line MSN01 - regular response	0	min	daunorubicin - Up	Orange	ADPRHL1	14.7347835313666	0	FALSE	318	healthy hiPSCd cardiomyocyte line MSN01	error	daunorubicin	Anthracycline	DAU	regular response
