Integration_group	Dataset_name	Time point	Time unit	Dataset_color	NCBI_official_gene_symbol	Minus_log10_pval_or_adj_pval	Significance_value_type	Log2_fold_change
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	1600012H06RIK	8.71163675227942	Minus_log10_adjusted_pvalue	-0.786494374275208
HU210 minfc1.5-Up	HU210 minfc1.5	2	hrs	Gold	1700030C12RIK	3.28421970474454	Minus_log10_adjusted_pvalue	1.4093953371048
HU210 minfc1.5-Up	HU210 minfc1.5	2	hrs	Gold	1810021B22RIK	7.41363328157953	Minus_log10_adjusted_pvalue	1.8125855922699
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	2410124H12RIK	1.96542767785639	Minus_log10_adjusted_pvalue	-1.02798020839691
HU210 minfc1.5-Up	HU210 minfc1.5	2	hrs	Gold	3010001F23RIK	4.62920574509628	Minus_log10_adjusted_pvalue	1.02551102638245
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	4930405O22RIK	9.97898445089348	Minus_log10_adjusted_pvalue	-1.96905422210693
HU210 minfc1.5-Up	HU210 minfc1.5	2	hrs	Gold	4933431E20RIK	9.71442918965948	Minus_log10_adjusted_pvalue	0.987867772579193
HU210 minfc1.5-Up	HU210 minfc1.5	2	hrs	Gold	9430038I01RIK	4.50786426408874	Minus_log10_adjusted_pvalue	0.687149465084076
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	9530077C05RIK	6.41180787740019	Minus_log10_adjusted_pvalue	-0.933271884918213
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	A430078I02RIK	3.98355587147219	Minus_log10_adjusted_pvalue	-0.629979252815247
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	A730032A03RIK	9.59030351250383	Minus_log10_adjusted_pvalue	-0.827023804187775
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	ABCA1	2.12879671600986	Minus_log10_adjusted_pvalue	-0.817749798297882
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	ABI3	4.22841766002556	Minus_log10_adjusted_pvalue	-0.66711962223053
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	ABRACL	3.67345933195141	Minus_log10_adjusted_pvalue	-0.595590949058533
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	ACYP2	2.57234352484487	Minus_log10_adjusted_pvalue	-0.634224653244019
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	ADI1	5.82125319002896	Minus_log10_adjusted_pvalue	-0.586206674575806
HU210 minfc1.5-Up	HU210 minfc1.5	2	hrs	Gold	AGBL4	2.59313805362871	Minus_log10_adjusted_pvalue	1.60797822475433
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	AHSG	1.6034885516045	Minus_log10_adjusted_pvalue	-0.692135632038116
HU210 minfc1.5-Up	HU210 minfc1.5	2	hrs	Gold	AIRE	5.44491765361152	Minus_log10_adjusted_pvalue	1.56888449192047
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	AKIP1	1.38987984437024	Minus_log10_adjusted_pvalue	-1.29909312725067
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	ANKHD1	∞	Minus_log10_adjusted_pvalue	-0.84724897146225
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	ANKRD29	1.62187657421624	Minus_log10_adjusted_pvalue	-0.796705186367035
HU210 minfc1.5-Up	HU210 minfc1.5	2	hrs	Gold	ANXA9	∞	Minus_log10_adjusted_pvalue	1.51447808742523
HU210 minfc1.5-Up	HU210 minfc1.5	2	hrs	Gold	ARC	10.2774137902344	Minus_log10_adjusted_pvalue	0.631623566150665
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	ARPP21	7.69990691595041	Minus_log10_adjusted_pvalue	-1.14732110500336
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	ATP11C	∞	Minus_log10_adjusted_pvalue	-1.16449880599976
HU210 minfc1.5-Down	HU210 minfc1.5	2	hrs	DarkOrange	ATP5K	13.2141678049334	Minus_log10_adjusted_pvalue	-1.06391847133636
