ProcessLevel	ProcessName	ProcessID	Symbol	Manual_validation	ReadWrite_references	Parent_processName
1	Amino acid metabolism	MBCO:0000002	AADAT	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	AANAT	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	AASS	Positive_for_at_least_one_child	PMID:18936211	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ABAT	Positive_for_at_least_one_child	PMID:25738457	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ACAD8	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ACADSB	Positive_for_at_least_one_child	PMID:17945527	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ACMSD	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ADAR	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ADAT3	Positive_for_at_least_one_child	PMID:26230688	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	AFMID	Positive_for_at_least_one_child	PMID:15866519	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	AGMAT	Positive_for_at_least_one_child	PMID:15090903	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	AGXT	Positive_for_at_least_one_child	PMID:11156700;PMID:18492492	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	AGXT2	Positive_for_at_least_one_child	PMID:25294000	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ALDH18A1	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ALDH1L1	Positive_for_at_least_one_child	PMID:17548676	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ALDH5A1	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ALDH7A1	Positive_for_at_least_one_child	PMID:21185811	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	AMT	Positive_for_at_least_one_child	PMID:25231368	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	AOC1	Positive_for_at_least_one_child	PMID:2936618	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	AOC3	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ARG1	Positive_for_at_least_one_child	PMID:33128544;UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ARG2	Positive_for_at_least_one_child	PMID:15753084;UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ASL	Positive_for_at_least_one_child	PMID:18666241;PMID:9734336	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ASMT	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ASNS	Positive_for_at_least_one_child	PMID:27451147	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ASPG	Positive_for_at_least_one_child	UniProt-online-2021June16	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	ASS1	Positive_for_at_least_one_child	PMID:23979920;PMID:24945279;PMID:25492936	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	BCAT1	Positive_for_at_least_one_child	PMID:17348860	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	BCAT2	Positive_for_at_least_one_child	PMID:17348860	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	BHMT	Positive_for_at_least_one_child	PMID:21952238	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	CCBL1	Positive_for_at_least_one_child	PMID:15016471	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	CCBL2	Positive_for_at_least_one_child	PMID:20482848	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	COMT	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	DAO	Positive_for_at_least_one_child	PMID:15306409;UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	DBH	Positive_for_at_least_one_child	PMID:25946206;UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	DDAH1	Positive_for_at_least_one_child	PMID:23621655	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	DDAH2	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	DDC	Positive_for_at_least_one_child	GeneCards-online - 2022February09;UniProt-2021November05	Molecular Biology of the Cell
1	Amino acid metabolism	MBCO:0000002	DHFR	Positive_for_at_least_one_child	UniProt - 2018March20	Molecular Biology of the Cell
