ProcessLevel	Left_out_processName	ProcessID	ProcessName	Original_process_size	Process_size_after_left_out	New_symbols_count	New_symbols_count_divided_by_original_process_size	New_symbols_rank_increase	New_symbols_rank_increase_divided_by_original_process_size
3	Acetylcholine-mediated control of postsynaptic potential	MBC:0000250	Connection of muscle sarcomere to extracellular matrix	5	6	1	0.2	2	0.4
3	Acetylcholine-mediated control of postsynaptic potential	MBC:0000475	Neuregulin receptor signaling	25	26	1	0.04	12.5	0.5
3	Actin filament bundling and crosslinking	MBC:0000158	Actin filament capping	29	29	0	0	10.5	0.362069
3	Actin filament bundling and crosslinking	MBC:0000160	Actin filament severing and depolymerization	20	22	2	0.1	15	0.75
3	Actin filament bundling and crosslinking	MBC:0000161	Actin polymerization	92	101	6	0.06521739	303.5	3.298913
3	Actin filament bundling and crosslinking	MBC:0000179	Angiotensin receptor signaling	15	16	1	0.06666667	3.5	0.2333333
3	Actin filament bundling and crosslinking	MBC:0000224	Centrosome organization	86	87	1	0.01162791	20	0.2325581
3	Actin filament bundling and crosslinking	MBC:0000318	Filopodium organization	36	42	1	0.02777778	7.5	0.2083333
3	Actin filament bundling and crosslinking	MBC:0000319	Focal adhesion organization	61	62	1	0.01639344	32	0.5245901
3	Actin filament bundling and crosslinking	MBC:0000406	Intestinal absorption and excretion of cholesterol	18	19	1	0.05555556	5.5	0.3055556
3	Actin filament bundling and crosslinking	MBC:0000413	Lamellipodium organization	52	56	4	0.07692308	74	1.423077
3	Actin filament bundling and crosslinking	MBC:0000562	Rank signaling	36	37	1	0.02777778	10.5	0.2916667
3	Actin filament bundling and crosslinking	MBC:0000565	Recycling endosome dynamics	52	53	1	0.01923077	41.5	0.7980769
3	Actin filament bundling and crosslinking	MBC:0000616	Thrombospondin receptor signaling	30	31	1	0.03333334	1	0.03333334
3	Actin filament capping	MBC:0000157	Actin filament bundling and crosslinking	29	29	0	0	3	0.1034483
3	Actin filament capping	MBC:0000161	Actin polymerization	92	96	3	0.0326087	153	1.663043
3	Actin filament capping	MBC:0000165	Adherens junction organization	47	48	1	0.0212766	30	0.6382979
3	Actin filament capping	MBC:0000286	Epidermal growth factor receptor signaling	33	35	1	0.03030303	23.5	0.7121212
3	Actin filament capping	MBC:0000318	Filopodium organization	36	37	1	0.02777778	2	0.05555556
3	Actin filament capping	MBC:0000413	Lamellipodium organization	52	55	1	0.01923077	16	0.3076923
3	Actin filament capping	MBC:0000415	Late endosome dynamics	63	64	1	0.01587302	24	0.3809524
3	Actin filament capping	MBC:0000466	Multivesicular body dynamics	51	49	1	0.01960784	8.5	0.1666667
3	Actin filament capping	MBC:0000469	Myofibril formation	11	11	0	0	1	0.09090909
3	Actin filament capping	MBC:0000470	Natriuretic peptide receptor signaling	28	29	1	0.03571429	22	0.7857143
3	Actin filament capping	MBC:0000521	PI3 kinase AKT signaling pathway	24	25	1	0.04166667	1	0.04166667
3	Actin filament capping	MBC:0000586	Sarcoplasmic reticulum organization	13	14	1	0.07692308	3	0.2307692
2	Actin filament dynamics	MBC:0000056	Cortical cytoskeleton dynamics	15	16	1	0.06666667	1	0.06666667
2	Actin filament dynamics	MBC:0000057	Cytokinesis	42	45	3	0.07142857	60.5	1.440476
2	Actin filament dynamics	MBC:0000059	Cytosolic post-translational protein modification	47	49	1	0.0212766	1	0.0212766
2	Actin filament dynamics	MBC:0000067	Endocytic pathway	92	93	1	0.01086957	49	0.5326087
2	Actin filament dynamics	MBC:0000076	Filopodium and lamellipodium organization	104	120	12	0.1153846	640.5	6.158654
2	Actin filament dynamics	MBC:0000084	Interphase nucleus and nuclear chromatin organization	60	61	0	0	1	0.01666667
2	Actin filament dynamics	MBC:0000085	Intracellular common signaling cascades of multiple pathways	120	121	1	0.008333334	80.5	0.6708333
2	Actin filament dynamics	MBC:0000100	Microtubule dynamics	83	84	1	0.01204819	4	0.04819277
2	Actin filament dynamics	MBC:0000101	Microtubule organization center dynamics	17	18	1	0.05882353	3	0.1764706
2	Actin filament dynamics	MBC:0000103	Mitochondrial dynamics	37	37	0	0	4	0.1081081
2	Actin filament dynamics	MBC:0000110	mRNA translation	81	81	0	0	3.5	0.04320988
2	Actin filament dynamics	MBC:0000111	Myofibril formation and organization	79	68	5	0.06329114	258	3.265823
2	Actin filament dynamics	MBC:0000113	Neuronal action potential generation and propagation	104	106	1	0.009615385	60	0.5769231
2	Actin filament dynamics	MBC:0000114	Neuronal signaling pathways	78	78	0	0	1.5	0.01923077
2	Actin filament dynamics	MBC:0000126	Protein transport across the nuclear membrane	79	80	1	0.01265823	8	0.1012658
2	Actin filament dynamics	MBC:0000139	Signaling pathways regulating water homeostasis	49	50	0	0	0.5	0.01020408
2	Actin filament dynamics	MBC:0000153	Vesicle exocytosis	99	100	1	0.01010101	43.5	0.4393939
3	Actin filament nucleation and branching	MBC:0000157	Actin filament bundling and crosslinking	29	28	0	0	1	0.03448276
3	Actin filament nucleation and branching	MBC:0000160	Actin filament severing and depolymerization	20	22	2	0.1	10	0.5
3	Actin filament nucleation and branching	MBC:0000161	Actin polymerization	92	100	8	0.08695652	498.5	5.418478
3	Actin filament nucleation and branching	MBC:0000165	Adherens junction organization	47	48	1	0.0212766	14	0.2978723
3	Actin filament nucleation and branching	MBC:0000216	Cell cycle arrest in response to DNA damage	14	15	1	0.07142857	4	0.2857143
3	Actin filament nucleation and branching	MBC:0000242	Clathrin-mediated endocytosis	42	43	0	0	0.5	0.01190476
3	Actin filament nucleation and branching	MBC:0000251	Connection of muscle sarcomere to plasma membrane	14	15	1	0.07142857	1	0.07142857
3	Actin filament nucleation and branching	MBC:0000254	Contractile ring formation	10	11	2	0.2	17	1.7
3	Actin filament nucleation and branching	MBC:0000318	Filopodium organization	36	48	1	0.02777778	18	0.5
3	Actin filament nucleation and branching	MBC:0000413	Lamellipodium organization	52	56	3	0.05769231	128	2.461539
3	Actin filament nucleation and branching	MBC:0000442	Microtubule assistance of vesicle traffic between Golgi and ER	14	14	0	0	1.5	0.1071429
3	Actin filament severing and depolymerization	MBC:0000158	Actin filament capping	29	30	2	0.06896552	45.5	1.568966
3	Actin filament severing and depolymerization	MBC:0000161	Actin polymerization	92	96	3	0.0326087	163	1.771739
3	Actin filament severing and depolymerization	MBC:0000165	Adherens junction organization	47	48	1	0.0212766	34	0.7234042
3	Actin filament severing and depolymerization	MBC:0000254	Contractile ring formation	10	11	1	0.1	9	0.9
3	Actin filament severing and depolymerization	MBC:0000315	Fibronectin assembly	9	9	0	0	2.5	0.2777778
3	Actin filament severing and depolymerization	MBC:0000319	Focal adhesion organization	61	62	1	0.01639344	12	0.1967213
3	Actin filament severing and depolymerization	MBC:0000413	Lamellipodium organization	52	53	1	0.01923077	16	0.3076923
3	Actin filament severing and depolymerization	MBC:0000475	Neuregulin receptor signaling	25	26	1	0.04	3.5	0.14
3	Actin polymerization	MBC:0000157	Actin filament bundling and crosslinking	29	30	1	0.03448276	4	0.137931
3	Actin polymerization	MBC:0000159	Actin filament nucleation and branching	33	36	2	0.06060606	33	1
3	Actin polymerization	MBC:0000160	Actin filament severing and depolymerization	20	24	2	0.1	18	0.9
3	Actin polymerization	MBC:0000224	Centrosome organization	86	86	0	0	2	0.02325581
3	Actin polymerization	MBC:0000242	Clathrin-mediated endocytosis	42	42	0	0	0.5	0.01190476
3	Actin polymerization	MBC:0000318	Filopodium organization	36	35	0	0	5.5	0.1527778
3	Actin polymerization	MBC:0000413	Lamellipodium organization	52	54	2	0.03846154	91	1.75
3	Actin polymerization	MBC:0000541	Protein acylation	18	19	1	0.05555556	1	0.05555556
3	Activin receptor signaling	MBC:0000179	Angiotensin receptor signaling	15	15	0	0	2	0.1333333
3	Activin receptor signaling	MBC:0000192	Betaglycan signaling	13	14	1	0.07692308	2	0.1538462
3	Activin receptor signaling	MBC:0000200	Bone morphogenetic protein receptor signaling	42	45	2	0.04761905	23.5	0.5595238
3	Activin receptor signaling	MBC:0000350	Growth differentiation factor receptor signaling	25	29	4	0.16	42	1.68
3	Activin receptor signaling	MBC:0000359	Hepatocyte growth factor receptor signaling	7	7	1	0.1428571	5	0.7142857
3	Activin receptor signaling	MBC:0000374	Inhibin receptor signaling	13	15	2	0.1538462	3	0.2307692
3	Activin receptor signaling	MBC:0000483	Nodal growth differentiation factor receptor signaling	56	56	1	0.01785714	48.5	0.8660714
3	Activin receptor signaling	MBC:0000553	Protein polyubiquitination	19	20	1	0.05263158	3	0.1578947
3	Activin receptor signaling	MBC:0000668	Z-disc organization	23	24	1	0.04347826	2	0.08695652
3	Acute-phase response	MBC:0000217	Cellular cholesterol uptake and efflux	28	29	1	0.03571429	17	0.6071429
3	Acute-phase response	MBC:0000229	Cholesterol esterification	9	9	1	0.1111111	5	0.5555556
3	Acute-phase response	MBC:0000429	Lysosomal glycoprotein degradation	67	68	2	0.02985075	127	1.895522
3	Acute-phase response	MBC:0000451	Mineralocorticoid receptor signaling	10	12	2	0.2	2	0.2
3	Acute-phase response	MBC:0000572	Retinol metabolism	23	23	0	0	0.5	0.02173913
3	Acute-phase response	MBC:0000640	Triacylglycerol hydrolysis and mobilization	35	36	1	0.02857143	20.5	0.5857143
3	Adenylyl cyclase signaling pathway	MBC:0000167	Adrenergic receptor signaling	32	35	4	0.125	92.5	2.890625
3	Adenylyl cyclase signaling pathway	MBC:0000181	Antidiuretic hormone receptor signaling	10	10	0	0	0.5	0.05
3	Adenylyl cyclase signaling pathway	MBC:0000208	Cardiomyocyte depolarization during action potential	4	7	3	0.75	3	0.75
3	Adenylyl cyclase signaling pathway	MBC:0000321	Follicle stimulating hormone receptor signaling	7	10	3	0.4285714	5	0.7142857
3	Adenylyl cyclase signaling pathway	MBC:0000343	Glycogen synthesis and glycogenolysis	19	21	2	0.1052632	9.5	0.5
3	Adenylyl cyclase signaling pathway	MBC:0000347	G-protein coupled receptor signaling pathway	31	32	1	0.03225806	21	0.6774194
3	Adenylyl cyclase signaling pathway	MBC:0000467	Muscarinic receptor signaling	25	26	1	0.04	3	0.12
3	Adenylyl cyclase signaling pathway	MBC:0000535	Prostacycline receptor signaling	6	9	3	0.5	13.5	2.25
3	Adenylyl cyclase signaling pathway	MBC:0000557	Purinergic P1 receptor signaling	8	11	3	0.375	15	1.875
3	Adherens junction organization	MBC:0000157	Actin filament bundling and crosslinking	29	30	1	0.03448276	1	0.03448276
3	Adherens junction organization	MBC:0000161	Actin polymerization	92	91	0	0	2	0.02173913
