Integration_group	Center	Dataset_name	Dataset_color	NCBI_official_gene_symbol	Minus_log10_pval_or_adj_pval	Significance_value_type	Log2_fold_change	Fold_change_value_type
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	ITGB6	∞	Minus_log10_pvalue	0.344750190669565	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	FIBIN	∞	Minus_log10_pvalue	0.415650328573791	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	S100A14	∞	Minus_log10_pvalue	0.41952957208341	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	TSPAN8	∞	Minus_log10_pvalue	0.562394829717833	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	SLC12A1	∞	Minus_log10_pvalue	0.614200595729398	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	PAPPA2	∞	Minus_log10_pvalue	0.654858493865242	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CLDN3	∞	Minus_log10_pvalue	0.668657297771108	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	AC073218.2	∞	Minus_log10_pvalue	0.781886047552179	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	KRT7	∞	Minus_log10_pvalue	0.791092087818546	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	MUC1	∞	Minus_log10_pvalue	0.826403211903232	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	MMP7	∞	Minus_log10_pvalue	1.14160386435179	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	ITM2C	∞	Minus_log10_pvalue	1.15384219804578	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	SLPI	∞	Minus_log10_pvalue	1.47056184123951	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	S100A2	∞	Minus_log10_pvalue	1.64643573300781	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	WFDC2	∞	Minus_log10_pvalue	2.25000991495037	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	TACSTD2	303.052409888166	Minus_log10_pvalue	0.95072122512513	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CLDN4	270.526999930247	Minus_log10_pvalue	0.742301536960782	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	SOD3	269.053699486287	Minus_log10_pvalue	1.71182575196237	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	TNFRSF12A	258.450590321028	Minus_log10_pvalue	0.572002652590788	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	C8ORF4	248.243419545698	Minus_log10_pvalue	0.726686645729509	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CLU	229.127674688479	Minus_log10_pvalue	1.0239589262133	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	IRX2	228.754463200057	Minus_log10_pvalue	0.269798109494967	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	S100A6	224.070978807699	Minus_log10_pvalue	1.31542661663059	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	SLC16A5	219.496844738538	Minus_log10_pvalue	0.279796926732205	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	MAL	217.589438786427	Minus_log10_pvalue	0.715483977212875	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	GPNMB	207.178676324322	Minus_log10_pvalue	0.27076355327664	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CLDN7	204.32397632495	Minus_log10_pvalue	0.494018572109925	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	SPINT2	200.920423800634	Minus_log10_pvalue	0.609612322498019	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	ELF3	199.653918206365	Minus_log10_pvalue	0.54692818603593	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	ERBB4	190.038527475709	Minus_log10_pvalue	0.272245127551889	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	IGFBP6	188.931753795811	Minus_log10_pvalue	0.719185427662668	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CLDN16	158.394846896999	Minus_log10_pvalue	0.284467289300282	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	S100A11	157.190923675777	Minus_log10_pvalue	0.8123892222583	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CLDN10	152.43913627549	Minus_log10_pvalue	0.706750297244121	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	DEPTOR	151.49802577	Minus_log10_pvalue	0.261814115264282	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	ATP1A1	150.378592114365	Minus_log10_pvalue	0.756526713236267	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	PIGR	149.29636404931	Minus_log10_pvalue	0.580738340153688	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	IGFBP2	140.337421902379	Minus_log10_pvalue	0.349835621803521	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	BCAM	139.307140168647	Minus_log10_pvalue	0.570746761686746	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	S100A13	139.244670561778	Minus_log10_pvalue	0.540192711366558	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	SOX4	134.750373425929	Minus_log10_pvalue	0.570247944232147	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	DEFB1	134.344102332059	Minus_log10_pvalue	0.350965309290352	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	MGLL	131.341092652469	Minus_log10_pvalue	0.401299162232744	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	SDC4	131.249364711691	Minus_log10_pvalue	0.486769106435489	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	IGFBP7	130.719730387828	Minus_log10_pvalue	0.739208258523176	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	KIF12	125.71624754894	Minus_log10_pvalue	0.386840547130029	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	VMP1	122.627879682352	Minus_log10_pvalue	0.658052927581321	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	SERPING1	118.083369545489	Minus_log10_pvalue	0.356104700680139	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	SPP1	116.600221362358	Minus_log10_pvalue	1.16365160111431	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	TSPAN1	116.102557876062	Minus_log10_pvalue	0.461526622893518	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	DMKN	111.548272156333	Minus_log10_pvalue	0.311372736946428	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	TPM1	105.559995754503	Minus_log10_pvalue	0.547529544047899	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	PERP	102.921222369417	Minus_log10_pvalue	0.332593750626942	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CD59	102.44903826293	Minus_log10_pvalue	0.505945657852695	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	RHOBTB3	101.831603138778	Minus_log10_pvalue	0.349899462207475	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CD9	101.575775845333	Minus_log10_pvalue	0.503839073661822	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	KRT19	101.448559382662	Minus_log10_pvalue	0.392611721105854	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	TFCP2L1	100.923240585019	Minus_log10_pvalue	0.355279967691818	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	AGRN	93.8589812549694	Minus_log10_pvalue	0.269623907229492	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	KRT18	92.7124882824533	Minus_log10_pvalue	0.391667659938253	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	ZFP36L1	91.6545370455695	Minus_log10_pvalue	0.518627120741982	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CST3	90.9201407232907	Minus_log10_pvalue	0.486161873555977	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	KCNJ16	90.3308036828759	Minus_log10_pvalue	0.377071017490767	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CD151	89.7866117830605	Minus_log10_pvalue	0.311477128084673	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	BICC1	88.9993509368771	Minus_log10_pvalue	0.328137413324828	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	S100A10	88.9547470792597	Minus_log10_pvalue	0.565729609289203	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	APP	87.950900039635	Minus_log10_pvalue	0.435475840313166	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	PAX8	87.236415202454	Minus_log10_pvalue	0.339201788476423	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	ACSL4	85.9470307697537	Minus_log10_pvalue	0.277253003784281	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	GSTP1	85.8786061495735	Minus_log10_pvalue	0.523383535233508	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	ADIRF	84.7210660529784	Minus_log10_pvalue	0.824390357770328	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	ANXA2	83.4514894458231	Minus_log10_pvalue	0.43235406150399	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	EZR	82.9071816231982	Minus_log10_pvalue	0.401889450624995	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CTSD	82.2967407619513	Minus_log10_pvalue	0.565905143540181	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	SFRP1	81.7182443418191	Minus_log10_pvalue	0.409685661167244	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	PPDPF	80.7157165801138	Minus_log10_pvalue	0.497250239398293	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CKB	80.5245960374545	Minus_log10_pvalue	0.384832982767439	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	EPCAM	80.1475582616095	Minus_log10_pvalue	0.340710409375704	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	GDF15	79.7015770281542	Minus_log10_pvalue	0.472953313287319	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CA12	79.1994394119402	Minus_log10_pvalue	0.399351906964979	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	SCNN1A	78.8030199698209	Minus_log10_pvalue	0.25955253688995	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	TIMP1	78.6708463865538	Minus_log10_pvalue	0.389855572546509	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	KRT8	77.9128762529387	Minus_log10_pvalue	0.346357028136713	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CD63	72.8082149818735	Minus_log10_pvalue	0.493030199765853	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	PKM	72.6103772479327	Minus_log10_pvalue	0.42015672174728	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	DSTN	69.0760819110996	Minus_log10_pvalue	0.399544650900299	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	EFHD1	68.9510679554692	Minus_log10_pvalue	0.351034024022185	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	YWHAH	68.4578017914881	Minus_log10_pvalue	0.334955711761018	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	AIF1L	67.5729504241483	Minus_log10_pvalue	0.328552472807345	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	ATP1B1	65.2899797660209	Minus_log10_pvalue	0.386393311626599	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	COL18A1	63.028348173255	Minus_log10_pvalue	0.304355723472918	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	IVNS1ABP	62.678191694836	Minus_log10_pvalue	0.318207119515915	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	SDC1	62.482243432914	Minus_log10_pvalue	0.296724031222085	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	RASD1	59.665950018793	Minus_log10_pvalue	0.293990460707116	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	CDH16	58.3105412186703	Minus_log10_pvalue	0.265817935165489	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	MALAT1	57.8096496615767	Minus_log10_pvalue	0.51907316469294	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	STMN1	57.3802205304058	Minus_log10_pvalue	0.268214357802803	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	AKAP9	56.6324445576969	Minus_log10_pvalue	0.255455826126841	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	IER3	55.9441701423859	Minus_log10_pvalue	0.253784315596608	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	FXYD2	55.4147377179198	Minus_log10_pvalue	0.403277827118985	Log_fold_change
Thin_ascending_limb	SC RNASeq	SC RNASeq - ATL	Red	LMNA	55.3355290645982	Minus_log10_pvalue	0.320040913452405	Log_fold_change
