ProcessLevel	ProcessID	ProcessName	Symbol	Parent_processName
3	MBCO:0000156	Acetylcholine-mediated control of postsynaptic potential	ACHE	Control of postsynaptic potential
3	MBCO:0000156	Acetylcholine-mediated control of postsynaptic potential	AGRN	Control of postsynaptic potential
3	MBCO:0000156	Acetylcholine-mediated control of postsynaptic potential	CHRNA1	Control of postsynaptic potential
3	MBCO:0000156	Acetylcholine-mediated control of postsynaptic potential	DOK7	Control of postsynaptic potential
3	MBCO:0000156	Acetylcholine-mediated control of postsynaptic potential	MUSK	Control of postsynaptic potential
3	MBCO:0000156	Acetylcholine-mediated control of postsynaptic potential	RAPSN	Control of postsynaptic potential
3	MBCO:0000156	Acetylcholine-mediated control of postsynaptic potential	UTRN	Control of postsynaptic potential
4	MBCO:0000670	Acidic keratin dynamics	KRT10	E_m_p_t_y
4	MBCO:0000670	Acidic keratin dynamics	KRT13	E_m_p_t_y
4	MBCO:0000670	Acidic keratin dynamics	KRT14	E_m_p_t_y
4	MBCO:0000670	Acidic keratin dynamics	KRT19	E_m_p_t_y
4	MBCO:0000671	Actin filament branching	ABI1	Actin filament nucleation and branching
4	MBCO:0000671	Actin filament branching	ABI2	E_m_p_t_y
4	MBCO:0000671	Actin filament branching	ARPC2	E_m_p_t_y
4	MBCO:0000671	Actin filament branching	ARPC3	E_m_p_t_y
4	MBCO:0000671	Actin filament branching	BRK1	E_m_p_t_y
4	MBCO:0000671	Actin filament branching	CYFIP1	E_m_p_t_y
4	MBCO:0000671	Actin filament branching	NCK1	E_m_p_t_y
4	MBCO:0000671	Actin filament branching	NCKAP1	E_m_p_t_y
4	MBCO:0000671	Actin filament branching	PARD6A	Actin filament nucleation and branching
4	MBCO:0000671	Actin filament branching	SNX9	E_m_p_t_y
4	MBCO:0000671	Actin filament branching	WAS	Actin filament nucleation and branching
4	MBCO:0000671	Actin filament branching	WASF1	Actin filament nucleation and branching
4	MBCO:0000671	Actin filament branching	WASF2	Actin filament nucleation and branching
4	MBCO:0000671	Actin filament branching	WASL	E_m_p_t_y
4	MBCO:0000671	Actin filament branching	WHAMM	E_m_p_t_y
4	MBCO:0000671	Actin filament branching	WIPF1	E_m_p_t_y
3	MBCO:0000157	Actin filament bundling and crosslinking	ACTN1	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	ACTN2	E_m_p_t_y
3	MBCO:0000157	Actin filament bundling and crosslinking	ACTN3	E_m_p_t_y
3	MBCO:0000157	Actin filament bundling and crosslinking	ACTN4	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	EPS8	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	ESPN	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	EZR	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	FHOD1	E_m_p_t_y
3	MBCO:0000157	Actin filament bundling and crosslinking	FLNA	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	FLNB	E_m_p_t_y
3	MBCO:0000157	Actin filament bundling and crosslinking	FSCN2	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	FSCN3	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	MSN	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	PLS1	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	PLS3	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	RAB35	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	RDX	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	SVIL	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	SYN1	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	SYNPO	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	SYNPO2	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	TAGLN	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	TRIO	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	TRIOBP	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	USH1C	Actin filament dynamics
3	MBCO:0000157	Actin filament bundling and crosslinking	VASP	Actin filament dynamics
3	MBCO:0000158	Actin filament capping	CAPZA1	Actin filament dynamics
3	MBCO:0000158	Actin filament capping	CAPZA2	Actin filament dynamics
3	MBCO:0000158	Actin filament capping	CAPZA3	Actin filament dynamics
3	MBCO:0000158	Actin filament capping	CAPZB	Actin filament dynamics
3	MBCO:0000158	Actin filament capping	CD2AP	Actin filament dynamics
3	MBCO:0000158	Actin filament capping	EPS8	Actin filament dynamics
3	MBCO:0000158	Actin filament capping	FHOD1	E_m_p_t_y
3	MBCO:0000158	Actin filament capping	LRRC16A	Actin filament dynamics
3	MBCO:0000158	Actin filament capping	MSN	Actin filament dynamics
3	MBCO:0000158	Actin filament capping	MTPN	Actin filament dynamics
3	MBCO:0000158	Actin filament capping	TMOD1	Actin filament dynamics
3	MBCO:0000158	Actin filament capping	TMOD2	Actin filament dynamics
3	MBCO:0000158	Actin filament capping	TMOD3	Actin filament dynamics
3	MBCO:0000158	Actin filament capping	TMOD4	Actin filament dynamics
4	MBCO:0000672	Actin filament depolymerization	CFL1	Actin filament severing and depolymerization
4	MBCO:0000672	Actin filament depolymerization	CFL2	Actin filament severing and depolymerization
4	MBCO:0000672	Actin filament depolymerization	DSTN	Actin filament severing and depolymerization
4	MBCO:0000672	Actin filament depolymerization	LIMA1	Actin filament severing and depolymerization
4	MBCO:0000672	Actin filament depolymerization	LIMK1	Actin filament severing and depolymerization
4	MBCO:0000672	Actin filament depolymerization	LIMK2	Actin filament severing and depolymerization
