ProcessLevel	Parent_processName	ProcessID	ProcessName	Symbol
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000059	Amino acid vs sodium amino acid antiporter	SLC1A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000059	Amino acid vs sodium amino acid antiporter	SLC1A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000016	Amino acid vs sodium antiporter	SLC1A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000016	Amino acid vs sodium antiporter	SLC1A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000016	Amino acid vs sodium antiporter	SLC7A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000016	Amino acid vs sodium antiporter	SLC7A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000017	Ammonia vs sodium antiporter	SLC9A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000264	ASBT (SLC10A2)	SLC10A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000277	ASCT1 (SLC1A4)	SLC1A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000278	ASCT2 (SLC1A5)	SLC1A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000235	B0AT1 (SLC6A19)	SLC6A19
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000179	B0AT2 (SLC6A15)	SLC6A15
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000253	B0AT3 (SLC6A18)	SLC6A18
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000221	BGT1 (SLC6A12)	SLC6A12
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000063	Calcium potassium vs sodium antiporter	SLC24A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000063	Calcium potassium vs sodium antiporter	SLC24A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000063	Calcium potassium vs sodium antiporter	SLC24A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000063	Calcium potassium vs sodium antiporter	SLC24A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000063	Calcium potassium vs sodium antiporter	SLC24A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000063	Calcium potassium vs sodium antiporter	SLC8B1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter	SLC24A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter	SLC24A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter	SLC24A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter	SLC24A4
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter	SLC24A5
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter	SLC8A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter	SLC8A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter	SLC8A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000018	Calcium vs sodium antiporter	SLC8B1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000204	Cationic amino acid vs large neutral amino acid sodium antiporter	SLC7A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000204	Cationic amino acid vs large neutral amino acid sodium antiporter	SLC7A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000060	Cationic amino acid vs sodium antiporter	SLC7A6
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000060	Cationic amino acid vs sodium antiporter	SLC7A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000245	CHT1 (SLC5A7)	SLC5A7
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000183	CNT1 (SLC28A1)	SLC28A1
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000184	CNT2 (SLC28A2)	SLC28A2
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000185	CNT3 (SLC28A3)	SLC28A3
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000246	CT1 (SLC6A8)	SLC6A8
-1	E_m_p_t_y	MBCO_NaGlu_Id:0000248	DAT1 (SLC6A3)	SLC6A3
